,Post URL,Post publish date,Engagements,Impressions,Title,Description,Thumbnail,Topics
20,https://www.linkedin.com/feed/update/urn:li:activity:7120422909298278401,10/18/2023,121,3900,KT Moore on LinkedIn: Women in CFD with Mary Alarcón Herrera,"Mary Alarcón Herrera, a product #engineer for the Cadence Design Systems #CFD team, believes the presence of more women in technical fields could serve as a…",https://media.licdn.com/dms/image/sync/D4E27AQGCt2Vfb17cNg/articleshare-shrink_800/0/1712172513825?e=2147483647&v=beta&t=NQj3QqPKG38eTNwK1QV04TRVXy4daOy1vpGtJ98Kp2I,"Women in Tech, Diversity in STEM, Empowering Engineers, Gender Equality, Tech Industry"
21,https://www.linkedin.com/feed/update/urn:li:activity:7094333342841470976,8/7/2023,112,4648,KT Moore on LinkedIn: AI Can’t Design Chips Without People - EE Times | 13 comments,We’re a long way from #AI replacing design #engineers; the immediate benefits of #machinelearning and algorithms are the productivity gains that come with… | 13 comments on LinkedIn,https://media.licdn.com/dms/image/sync/D5627AQEm316zf9G88g/articleshare-shrink_800/0/1712869006257?e=2147483647&v=beta&t=medM72iR_X0mycDaSzIf03pQyJlDgUrE30U4ZqfuOgY,"AI in Engineering, Machine Learning Productivity, Design Innovation, Algorithm Efficiency, Future of Engineering"
22,https://www.linkedin.com/feed/update/urn:li:activity:7166125771231621121,2/21/2024,112,4325,Cadence Design Systems Millennium M1 platform for EDA | KT Moore posted on the topic | LinkedIn,"Around 50% of EDA revenues today come from systems rather than #semiconductor companies, from data centers to automotive, aerospace, energy, and others…",https://media.licdn.com/dms/image/sync/D5627AQGzWgRAfjv59A/articleshare-shrink_800/0/1712168241521?e=2147483647&v=beta&t=P4LBH8rXQ8ROy3MLCWih8XlImeifPYIwstn-epvssbs,"EDA Revenues, Systems, Semiconductor, Data Centers, Automotive"
23,https://www.linkedin.com/feed/update/urn:li:activity:7113537983730921472,9/29/2023,110,4612,"KT Moore on LinkedIn: Chip Packaging Is the Next Battleground for Tech Lead, CEO Says","&quot;Manufacturing is critical, three nanometer, two nanometer, but you also have to invest where the puck is going. The puck is going to 3D-IC.” - Anirudh Devgan,…",https://media.licdn.com/dms/image/sync/D5627AQF0-ui053kItg/articleshare-shrink_800/0/1714357779463?e=2147483647&v=beta&t=hbwmUZYkhUs18InZMdg4x4XA0F9x-vG4GRKX7I7UEJI,"Manufacturing Innovation, Nanometer Technology, Future Investments, 3D-IC Advancements, Industry Trends"
24,https://www.linkedin.com/feed/update/urn:li:activity:7158874712377368578,2/1/2024,109,3548,KT Moore on LinkedIn: #millenniumm1 #cfddesign,"Today, Cadence Design Systems reaffirms its commitment to delivering top-notch technological solutions. The Cadence® Millennium™ Enterprise Multiphysics…",https://media.licdn.com/dms/image/D5622AQERhZHqh4BuUQ/feedshare-shrink_800/0/1706808735600?e=2147483647&v=beta&t=md2ODJxB_UuPqSfISwF_bbOIeLCo8WkVl9N2vPsMUfU,"Technology Solutions, Innovation, Commitment, Cadence Millennium, Multiphysics"
25,https://www.linkedin.com/feed/update/urn:li:activity:7182813185207402496,4/7/2024,103,4183,KT Moore on LinkedIn: #cadencelive,"Very excited to hear from Jensen Huang, NVIDIA  Founder and CEO on April 17th at #CadenceLIVE in the Santa Clara Convention Center",https://media.licdn.com/dms/image/D5622AQEnkZEKGsVABA/feedshare-shrink_2048_1536/0/1712510887138?e=2147483647&v=beta&t=wKjA8fwfYjghmErbZ6Xer2W7pjyF8gWwyFtoO7ckQmc,"Jensen Huang, NVIDIA, CEO, CadenceLIVE, Santa Clara"
26,https://www.linkedin.com/feed/update/urn:li:activity:7086719809492549632,7/17/2023,102,6071,KT Moore on LinkedIn: Welcome To EDA 4.0 And The AI-Driven Revolution,EDA 4.0 is transforming electronic design automation through the power of #artificialintelligence and delivers several key technologies that will help…,https://media.licdn.com/dms/image/sync/D4E27AQG4JOqV3R_iXA/articleshare-shrink_800/0/1712095197557?e=2147483647&v=beta&t=glDSX1dlqsT5EtSswtvdSFRij7QQI3bl8wwuvO3ZeRo,"AI in EDA, Transformative Technologies, Electronic Design, Innovation in Automation, Power of AI"
27,https://www.linkedin.com/feed/update/urn:li:activity:7125536998529892352,11/1/2023,101,3977,KT Moore on LinkedIn: “Cadence is one of the best-performing stocks in the past 10 years” | 16 comments,It&#39;s awesome to get this mention from CNBC&#39;s Jim Cramer about Cadence Design Systems&#39; role in helping semiconductor and systems companies that are leading… | 16 comments on LinkedIn,https://media.licdn.com/dms/image/D5610AQEnajDacKgL2A/videocover-high/0/1698850218453?e=2147483647&v=beta&t=V3nYLdhJ9tptWc8U3qIS7AMceOO3ShXhp-Au3F53UTU,"Cadence Design, Semiconductor Solutions, Jim Cramer Mention, CNBC Recognition, Systems Companies"
28,https://www.linkedin.com/feed/update/urn:li:activity:7160305349718089730,2/5/2024,100,12187,KT Moore on LinkedIn: The Power of Computational Software in Biotechnology,"Cadence&#39;s foray into the realm of life sciences simulation and molecular design is about to enter a new era with its merger with OpenEye, Cadence Molecular…",https://media.licdn.com/dms/image/sync/D5627AQEWKcklSPgwGw/articleshare-shrink_800/0/1712030931860?e=2147483647&v=beta&t=c12RJLGCjgYNq8-e0jM-7HF6Kx-7k0LhSB8q7xj4Vxk,"Life Sciences, Molecular Design, Simulation, Merger, Innovation"
29,https://www.linkedin.com/feed/update/urn:li:activity:7062083615471386624,5/10/2023,98,3266,KT Moore on LinkedIn: Computational Digital Software,"The evolution of #EDA tools can be broken down into three phases since the mid-1980s, resulting in today’s #computationalsoftware. The Cadence Design Systems…",https://media.licdn.com/dms/image/sync/D4D27AQFqCyYAcQOZ-Q/articleshare-shrink_800/0/1711271529053?e=2147483647&v=beta&t=0BTaOOFpJP_c053aOF_ct6UrB47wmN5C2haOmqGUtYA,"Evolution, EDA Tools, Computational Software, Cadence Design Systems, Technology"
30,https://www.linkedin.com/feed/update/urn:li:activity:7107760359129706496,9/13/2023,95,6213,How to optimize radial compressors for high pressure | KT Moore posted on the topic | LinkedIn,"Achieving optimal results for applications involving high pressure, such as radial compressors, requires a comprehensive #multiphysics approach, considering…",https://media.licdn.com/dms/image/sync/D4D27AQFEEDj0_AJ4ag/articleshare-shrink_1280_800/0/1711644381397?e=2147483647&v=beta&t=jU3sByAJvUQM-Y_zXd6M7JdOJuZf3ImsLw9RiQW0970,"High Pressure, Multiphysics Approach, Optimal Results, Radial Compressors, Applications"
31,https://www.linkedin.com/feed/update/urn:li:activity:7061399203339522048,5/8/2023,94,4026,KT Moore on LinkedIn: #semiconductor,"The increase in the global demand for semiconductors, which is expected to double by 2030, has exposed the dependencies of the supply chain around the world to…",https://media.licdn.com/dms/image/D5622AQFyUrncGnPyAg/feedshare-shrink_2048_1536/0/1683568762564?e=2147483647&v=beta&t=nQXNt8lC_wAeAl0tBvYAbH1vQb4HkeTk4U2pLYtu_PI,"Semiconductor Demand, Supply Chain Dependencies, Global Growth, Technology Trends, Market Expansion"
32,https://www.linkedin.com/feed/update/urn:li:activity:7156327980200321024,1/25/2024,92,4065,KT Moore on LinkedIn: #ai #ml #emulationtechnology,Exciting news from Cadence Design Systems as we unveiled a new suite of applications for the Palladium Z2 Enterprise Emulation System. This innovative…,https://media.licdn.com/dms/image/D5622AQEGIZWAL71XXA/feedshare-shrink_800/0/1706201547616?e=2147483647&v=beta&t=wS6OTTqvB9QvpDRPV0zOe92j7m7GPGKyhXaFomluPSs,"Innovation, Technology, Emulation, Cadence, Suite"
33,https://www.linkedin.com/feed/update/urn:li:activity:7066432802421977089,5/22/2023,89,3630,KT Moore on LinkedIn: #semiconductor #chipdesign #tech #innovativetools,"Karna Nisewaner, General Counsel and Corporate Secretary at Cadence Design Systems, dives into the company&#39;s role in driving cutting-edge solutions, from…",https://media.licdn.com/dms/image/D4D22AQG7JhauesUjYw/feedshare-shrink_800/0/1684768866322?e=2147483647&v=beta&t=oL42rkdfNlSHubvj4E-tFcELVF1IxACTpaJY2YW9_94,"Innovation, Technology, Leadership, Legal, Corporate Governance"
34,https://www.linkedin.com/feed/update/urn:li:activity:7178510581895737345,3/26/2024,89,3615,KT Moore on LinkedIn: Very proud that Cadence Design Systems was named to Fast Company’s List of…,"Very proud that Cadence Design Systems was named to Fast Company’s List of Most Innovative Companies 2024!

“Befitting its name, “ChipGPT” is a natural…",https://media.licdn.com/dms/image/D5610AQGj2onm9LPP8w/image-shrink_1280/0/1711490292721?e=2147483647&v=beta&t=797K39Zud0tPLtxeX0RmPBNRMR5jGd9YhR0ttLt2qzw,"Innovation, Technology, Recognition, Achievement, Cadence"
